country,id,continent,year_2022,increase
Australia,11,Oceania,6372,33.41
Austria,5,Europe,7275,47.17
Belgium,8,Europe,6600,36.99
Canada,12,North America,6319,36.39
Chile,34,South America,2699,47.22
Colombia,37,South America,1640,58.44
Costa Rica,36,North America,1658,19.93
Czechia,21,Europe,4512,73.15
Denmark,13,Europe,6280,33.06
Estonia,29,Europe,3103,59.89
Finland,16,Europe,5599,40.24
France,7,Europe,6630,41.96
Germany,3,Europe,8011,51.18
Greece,30,Europe,3015,42.03
Hungary,32,Europe,2840,50.17
Iceland,18,Europe,5314,42.34
Ireland,15,Europe,6047,40.32
Israel,28,Asia,3444,49.11
Italy,23,Europe,4291,38.91
Japan,19,Asia,5251,16.28
Korea,20,Asia,4570,85.31
Latvia,27,Europe,3445,145.28
Lithuania,26,Europe,3587,87.12
Luxembourg,10,Europe,6436,37.16
Mexico,38,North America,1181,11.15
Netherlands,6,Europe,6729,36.57
New Zealand,14,Oceania,6061,73.13
Norway,4,Europe,7771,35.7
Poland,31,Europe,2973,63.45
Portugal,24,Europe,4162,57.92
Slovak Republic,33,Europe,2756,33.84
Slovenia,25,Europe,4114,59.49
Spain,22,Europe,4432,46.77
Sweden,9,Europe,6438,28.65
Switzerland,2,Europe,8049,28.6
Türkiye,35,Asia,1827,75.7
United Kingdom,17,Europe,5493,44.75
United States,1,North America,12555,34.13
